date,chl_a,mean_sst,month,predicted_chl,chl_anomaly,sst_anomaly,sst_lag1
2018-01-01,0.20973630100000001,27.73185779,Jan,0.29958722971764484,-0.0834467668333333,-0.33615197888888915,NA
2018-02-01,0.190109073,28.83571364,Feb,0.27855724327011333,-0.10307399483333332,0.767703871111113,27.73185779
2018-03-01,0.257010271,29.84654801,Mar,0.2592994451601528,-0.0361727968333333,1.7785382411111108,28.83571364
2018-04-01,0.275068758,29.70675609,Apr,0.26196267531205575,-0.018114309833333286,1.6387463211111104,29.84654801
2018-05-01,0.417669805,28.14121559,May,0.2917883953080692,0.1244867371666667,0.07320582111111307,29.70675609
2018-06-01,0.3640231,27.36442921,Jun,0.3065872542750503,0.07084003216666668,-0.7035805588888877,28.14121559
2018-07-01,0.392863949,26.2894637,Jul,0.32706683963654815,0.09968088116666668,-1.7785460688888897,27.36442921
2018-08-01,0.24292805,26.30668123,Aug,0.32673882178660874,-0.050255017833333304,-1.7613285388888897,26.2894637
2018-09-01,0.267255186,26.48225605,Sep,0.3233938777115941,-0.025927881833333333,-1.5857537188888884,26.30668123
2018-10-01,0.329389607,26.90123834,Oct,0.3154116834056476,0.03620653916666666,-1.1667714288888895,26.48225605
2018-11-01,0.243912893,28.09774273,Nov,0.29261661364530545,-0.04927017483333332,0.029732961111111678,26.90123834
2018-12-01,0.339852841,28.99056953,Dec,0.27560702357610134,0.046669773166666706,0.9225597611111098,28.09774273
2019-01-01,0.254290512,28.99969233,Jan,0.2754332215707367,-0.03889255583333329,0.9316825611111099,28.99056953
2019-02-01,0.195657234,29.28126061,Feb,0.27006895492989336,-0.0975258338333333,1.2132508411111118,28.99969233
2019-03-01,0.249289092,29.99747721,Mar,0.25642403436214256,-0.04389397583333332,1.929467441111111,29.28126061
2019-04-01,0.253015782,30.42734445,Apr,0.24823446664690352,-0.04016728583333329,2.359334681111111,29.99747721
2019-05-01,0.372306435,28.48564157,May,0.2852266022156309,0.07912336716666668,0.41763180111111,30.42734445
2019-06-01,0.352318065,27.34358346,Jun,0.30698439475311956,0.0591349971666667,-0.7244263088888871,28.48564157
2019-07-01,0.326139042,26.67662103,Jul,0.31969095500182654,0.03295597416666668,-1.3913887388888888,27.34358346
2019-08-01,0.256318742,26.3952649,Aug,0.3250511798906378,-0.03686432583333332,-1.6727448688888877,26.67662103
2019-09-01,0.282403155,26.75630571,Sep,0.3181728512200005,-0.010779912833333294,-1.311704058888889,26.3952649
2019-10-01,0.333249511,28.2043799,Oct,0.29058502751030135,0.04006644316666669,0.13637013111111074,26.75630571
2019-11-01,0.300090579,28.81302567,Nov,0.2789894805967734,0.006907511166666713,0.7450159011111097,28.2043799
2019-12-01,0.269161524,29.83137101,Dec,0.25958858808068375,-0.024021543833333325,1.763361241111113,28.81302567
2020-01-01,0.205172954,29.32802566,Jan,0.2691780158025443,-0.08801011383333332,1.260015891111113,29.83137101
2020-02-01,0.266267531,29.53311337,Feb,0.26527081019969745,-0.02691553683333331,1.4651036011111103,29.32802566
2020-03-01,0.318749053,30.41438529,Mar,0.24848135663636317,0.025565985166666694,2.34637552111111,29.53311337
2020-04-01,0.48471748,30.26939185,Apr,0.2512436829656396,0.19153441216666667,2.201382081111113,30.41438529
2020-05-01,0.355018783,28.41087656,May,0.2866509794538813,0.061835715166666694,0.34286679111110985,30.26939185
2020-06-01,0.384921701,27.3461836,Jun,0.30693485847629354,0.0917386331666667,-0.7218261688888887,28.41087656
2020-07-01,0.359697108,26.48685782,Jul,0.32330620760436524,0.06651404016666668,-1.5811519488888877,27.3461836
2020-08-01,0.350763303,25.56626069,Aug,0.34084486101417083,0.057580235166666716,-2.5017490788888885,26.48685782
2020-09-01,0.240363933,26.54089226,Sep,0.32227677650527753,-0.05281913483333331,-1.5271175088888889,25.56626069
